hotel_id,hotel_name,rating,no_reviews,hotel_link
10992,Saigon Star Hotel,3.7,361.0,"https://www.google.com/maps/place/Saigon+Star+Hotel/@10.7751522,106.6905212,17z/data=!4m9!3m8!1s0x31752f48927813ab:0x2972b3daf8259966!5m2!4m1!1i2!8m2!3d10.7751522!4d106.6905212!16s%2Fg%2F1tczgzph?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10993,Vien Dong Hotel,4.1,2714.0,"https://www.google.com/maps/place/Vien+Dong+Hotel/@10.7679664,106.6919963,17z/data=!4m9!3m8!1s0x31752f4c0531095b:0x49cd6264aa98151f!5m2!4m1!1i2!8m2!3d10.7679664!4d106.6919963!16s%2Fg%2F1v76x444?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10996,Hoi An Beach Resort,4.4,2415.0,"https://www.google.com/maps/place/Hoi+An+Beach+Resort/@15.8964836,108.3671864,17z/data=!4m9!3m8!1s0x31420d970efaa355:0x9e3cb85ef42337d!5m2!4m1!1i2!8m2!3d15.8964836!4d108.3671864!16s%2Fg%2F1tfwgvzy?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10997,Hoi An Historic Hotel,4.4,2426.0,"https://www.google.com/maps/place/Hoi+An+Historic+Hotel/@15.88049,108.3307507,17z/data=!4m9!3m8!1s0x31420e78c96c258f:0x53b7afede03b477c!5m2!4m1!1i2!8m2!3d15.88049!4d108.3307507!16s%2Fg%2F12hmhw0ms?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10999,Century Riverside Hotel Hue,3.9,1247.0,"https://www.google.com/maps/place/Century+Riverside+Hotel+Hue/@16.470554,107.593464,17z/data=!4m9!3m8!1s0x3141a14a308cc41b:0x77f1b53690b10888!5m2!4m1!1i2!8m2!3d16.470554!4d107.593464!16s%2Fg%2F11b7xk7_qz?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
11001,Hotel Saigon Morin,4.4,136.0,"https://www.google.com/maps/place/Hotel+Saigon+Morin/@16.4666885,107.5901819,17z/data=!4m9!3m8!1s0x3141a100731e35ff:0xcee1bb7f7ff626c8!5m2!4m1!1i2!8m2!3d16.4666885!4d107.5901819!16s%2Fg%2F11xmqtqllq?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
11005,Nha Trang Lodge Hotel,4.2,810.0,"https://www.google.com/maps/place/Nha+Trang+Lodge+Hotel/@12.2417311,109.1962074,17z/data=!4m9!3m8!1s0x317067796e11dacf:0x1946b224b9b3948f!5m2!4m1!1i2!8m2!3d12.2417311!4d109.1962074!16s%2Fg%2F1tj30ls_?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
11007,Yasaka Saigon Nha Trang,3.9,1184.0,"https://www.google.com/maps/place/Yasaka+Saigon+Nha+Trang/@12.2491123,109.1960881,17z/data=!4m9!3m8!1s0x317067825add820d:0x19ed00bd1cb5e56d!5m2!4m1!1i2!8m2!3d12.2491123!4d109.1960881!16s%2Fg%2F11btvg8fsm?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
11016,Petro House,4.2,755.0,"https://www.google.com/maps/place/Petro+House/@10.3496207,107.0748447,17z/data=!4m9!3m8!1s0x31756f930c715555:0x61f2587228da9950!5m2!4m1!1i2!8m2!3d10.3496207!4d107.0748447!16s%2Fg%2F1td67crb?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
11017,Rex Hotel,4.0,1661.0,"https://www.google.com/maps/place/Rex+Hotel/@10.3482379,107.0724334,17z/data=!4m9!3m8!1s0x31756f93d13a21d9:0x980938da3ecddbed!5m2!4m1!1i2!8m2!3d10.3482379!4d107.0724334!16s%2Fg%2F1tdr0t4l?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
12132,Sheraton Saigon Grand Opera Hotel,4.6,9318.0,"https://www.google.com/maps/place/Sheraton+Saigon+Grand+Opera+Hotel/@10.7754461,106.7038779,17z/data=!4m9!3m8!1s0x31752f4802af4703:0x958af8c6972ad52c!5m2!4m1!1i2!8m2!3d10.7754461!4d106.7038779!16s%2Fg%2F1td19xsf?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
11015,Equatorial Ho Chi Minh City,4.4,4784.0,"https://www.google.com/maps/place/Equatorial+Ho+Chi+Minh+City/@10.5591387,106.8864437,11z/data=!4m12!1m2!2m1!1sPalace+Hotel,+01+Nguyen+Trai+street!3m8!1s0x31752f1e7a594605:0x1ef81c568253c68d!5m2!4m1!1i2!8m2!3d10.763075!4d106.6791469!16s%2Fg%2F1tkbvqjy?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
43382,Seagull Hotel,4.2,2693.0,"https://www.google.com/maps/place/Seagull+Hotel/@13.7564564,109.2185922,17z/data=!4m9!3m8!1s0x316f6c8bfa215013:0x32843a68840876c6!5m2!4m1!1i2!8m2!3d13.7564564!4d109.2185922!16s%2Fg%2F1tfthps7?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
43384,TTC HOTEL - PREMIUM CAN THO,4.3,4498.0,"https://www.google.com/maps/place/TTC+HOTEL+-+PREMIUM+CAN+THO/@10.0356451,105.7891935,17z/data=!4m9!3m8!1s0x31a062a3c85bbcc5:0x3f70fa9b4ba0895e!5m2!4m1!1i2!8m2!3d10.0356451!4d105.7891935!16s%2Fg%2F1tdkv53_?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
43397,Fortuna Hotel Hanoi,4.3,4571.0,"https://www.google.com/maps/place/Fortuna+Hotel+Hanoi/@21.0213364,105.8180413,17z/data=!4m9!3m8!1s0x3135ab707425a6bf:0x30e3fbe8807d2633!5m2!4m1!1i2!8m2!3d21.0213364!4d105.8180413!16s%2Fg%2F1tfvwmfp?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
43399,Hanoi Hotel,4.3,2907.0,"https://www.google.com/maps/place/Hanoi+Hotel/@21.0277717,105.8215235,17z/data=!4m9!3m8!1s0x3135ab743b6ab88d:0xfb848cbe2def5dd6!5m2!4m1!1i2!8m2!3d21.0277717!4d105.8215235!16s%2Fg%2F1hm5vmqvj?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
43427,Saigon Halong Hotel,4.1,1817.0,"https://www.google.com/maps/place/Saigon+Halong+Hotel/@20.9518452,107.039505,17z/data=!4m9!3m8!1s0x314a58c6c0d57425:0x38e37cd43d4a64df!5m2!4m1!1i2!8m2!3d20.9518452!4d107.039505!16s%2Fg%2F11rp8y8vk?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
43411,Liberty Saigon Greenview,4.0,579.0,https://www.google.com/maps/search/Liberty%20Saigon%20Green%20View%20Hotel%2C%20187%20Pham%20Ngu%20Lao%20Street%20%28Front%20of%20Taka%20Plaza_Dist%201%29
43436,Chau Long Sapa Hotel,4.6,1113.0,"https://www.google.com/maps/place/Chau+Long+Sapa+Hotel/@22.3328393,103.8418504,17z/data=!4m9!3m8!1s0x36cd416b6b169885:0xb659bc2fca66441!5m2!4m1!1i2!8m2!3d22.3328393!4d103.8418504!16s%2Fg%2F1hc22xdql?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
48363,Khách Sạn Sunrise Nha Trang,4.5,1554.0,https://www.google.com/maps/search/Sunrise%20Nha%20Trang%20Beach%20Hotel%20%26%20Spa%2C%2012%20Tran%20Phu%20Street
48364,Sheraton Hanoi Hotel,4.5,4715.0,https://www.google.com/maps/search/Sheraton%20Hanoi%20Hotel%2C%20K5%20Nghi%20Tam%2C%2011%20Xuan%20Dieu%20Road
49251,Windsor Plaza Hotel,4.3,3863.0,https://www.google.com/maps/search/Windsor%20Plaza%20Hotel%2C%2018%20An%20Duong%20Vuong%20Street%2C%20Ward%209%2C%20District%205%2C%20Ho%20Chi%20Minh%20City%2C%20Vietnam
48367,Anantara Hoi An Resort,4.7,1202.0,https://www.google.com/maps/search/Anantara%20Hoi%20An%20Resort%2C%201%20Pham%20Hong%20Thai
50099,Dong Khanh Hotel,3.9,688.0,https://www.google.com/maps/search/Dong%20Khanh%20Hotel%2C%202%20%C4%90%C6%B0%E1%BB%9Dng%20Tr%E1%BA%A7n%20H%C6%B0ng%20%C4%90%E1%BA%A1o%20B
50114,First Hotel,4.0,2412.0,https://www.google.com/maps/search/First%20Hotel%2C%2018%20Hoang%20Viet%20St%2C%20Tan%20Binh%20District
52069,Thai Binh Hotel 2,3.8,282.0,"https://www.google.com/maps/place/Thai+Binh+Hotel+2/@16.4656122,107.5908547,17z/data=!4m9!3m8!1s0x3141a13b9250b341:0xc386e8fefea1bc99!5m2!4m1!1i2!8m2!3d16.4656122!4d107.5908547!16s%2Fg%2F1tdws4f5?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
52077,Vinh Hung Riverside Resort & Spa,4.4,1107.0,"https://www.google.com/maps/place/Vinh+Hung+Riverside+Resort+%26+Spa/@15.8742192,108.3245399,17z/data=!4m9!3m8!1s0x31420e7d889d3e61:0x6ccd36182e6f3b65!5m2!4m1!1i2!8m2!3d15.8742192!4d108.3245399!16s%2Fg%2F11r8hbxng?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
